
95432	28793	42336	97670	50235	2618	78471	68838	35335	91283	54523	94605
9827	34226	32293	28404	26765	21772	60934	30118	61333	91744	54965	69416
21605	9550	60011	54578	51851	36068	16881	11069	39366	39765	61870	93977
65618	95707	96266	43993	39121	19781	99562	82222	35368	38587	55491	3939
85076	9075	13224	86038	38481	78522	72912	1362	74168	22312	42596	71181
36989	97938	65811	10626	74979	4494	63850	327	89120	51718	45502	57338
25316	81944	64084	54661	64114	92942	80473	17901	10642	61497	54446	33337
10381	52754	98383	27304	28297	93988	66237	20948	72807	4382	66284	92505
67278	55797	80788	63835	87175	7480	99551	46322	11481	80373	90231	62163
74515	69585	60346	35989	83755	74817	90036	52238	68953	10250	96032	89076
19082	82008	48404	99001	44108	86909	73621	43276	63842	73804	60576	23997
16906	55089	7260	30486	51513	61296	72769	54776	6509	49438	51168	18581
47995	78971	66118	9517	19618	39454	31454	30674	84188	91694	21440	35320
73168	79659	63747	66673	41604	87080	56266	6547	1717	42465	62501	97106
24568	4461	61993	53291	18261	1620	15745	20435	95138	51532	52526	28479
17064	83328	21281	43321	53277	42493	89830	70933	43038	28642	60326	12982
18105	89868	58379	48162	61678	78686	10775	29661	86970	20754	98529	84920
99106	94186	26043	39295	61380	9056	93730	8948	80125	27350	40123	61377
76025	65072	1325	89592	24585	77813	30006	89682	69238	96357	96392	93528
6228	51930	9727	76284	91077	10944	93429	77649	9410	55621	49464	22376
97014	96338	18073	6382	83834	65857	9492	95950	85575	60289	47457	33498
39928	26560	40563	40649	77900	26227	6137	95933	18275	28254	47654	50280
55789	65860	85510	12858	54292	35554	53829	2729	63589	59726	74004	40976
83077	89439	11487	30436	1628	425	7702	96732	86713	61556	54872	52277
22643	32447	42103	2612	34351	86195	73931	35502	98613	399	23767	34555
49807	89183	61291	51906	80738	81594	49169	78975	7207	32951	82962	3878
54723	38608	11832	74136	71954	59978	73118	47759	78743	19153	62502	93017
47370	72528	74340	28985	54843	58840	79883	43738	53895	57219	12264	88396
19499	37033	83378	64527	18381	75921	28477	30535	29204	93738	77280	47516
81309	50878	8283	25067	85260	25223	43907	70405	15686	94791	69547	42684
46388	96819	12760	34066	15290	22975	79555	49227	23622	31213	174	67826
72124	23674	40523	62037	21556	4881	13882	58352	45607	46622	59757	44750
23400	87556	80439	89149	44330	21818	7562	74083	34208	83885	1524	57075
98616	4378	56796	57101	93808	89267	74225	52646	20371	77174	12849	67226
14340	84908	29883	9325	99534	3831	6506	70344	64430	7144	95257	67424
23804	74562	16676	32298	53412	72576	82065	50437	37931	60754	82224	3422
33159	42740	9819	24547	44444	65353	51284	86841	14967	10254	70544	7802
2012	34478	41270	31973	52818	20726	80065	85542	10998	36103	66541	62646
28814	74781	51786	65140	93390	46548	55049	89415	10108	77666	62232	76773
63009	20782	94886	45431	98112	42111	30914	46224	65271	76670	22339	95118
85493	77920	946	44551	86352	94961	79026	12334	51653	78085	96277	67967
13076	90382	19270	32563	78030	11332	96435	96247	22642	5565	18162	11153
10012	39493	16007	12105	42611	45238	11926	68149	90028	44569	17714	90589
82951	23566	75362	80234	43807	82820	40718	29434	6198	5794	21201	6905
42527	90362	65186	6717	19669	76988	1296	17153	39469	48651	48649	48295
34647	72742	91072	9920	66193	2935	76056	75252	68327	47750	60661	10003
20109	65200	87358	2424	76381	36482	74053	75010	66283	82123	29752	82477
94787	99073	56005	20855	15858	79473	79154	63048	65662	85204	65242	66084
48575	23095	60245	37174	98789	88772	89214	85238	34704	69100	4121	82019
5961	20935	95478	88927	72136	93388	44208	10030	9488	47989	74331	61371
56038	92952	46161	50305	13573	67470	50032	28034	22710	53893	59681	87706
25138	29960	98871	97882	26059	36734	80278	67202	32370	4450	53842	44669
49527	15045	38826	82229	3393	27734	78252	68309	36530	61804	18942	22878
83847	62184	96096	39358	60288	36258	32437	95767	39392	9951	62630	77610
98818	17856	99995	66480	32765	35197	85293	20288	25845	77153	10294	25607
46565	41811	23597	33673	80188	94700	22518	335	57035	90831	66624	45875
37707	51655	45348	93674	25467	9941	42764	93803	29114	76198	26110	56940
93035	51384	12989	16796	38685	48398	44472	27013	58124	28805	39944	37922
30661	16764	48564	58058	97506	59468	63249	7771	6511	26493	68192	91252
10845	79690	73397	88590	8104	30473	41672	3677	21387	80807	85592	75932
35474	33811	6124	54786	15977	11084	97366	54324	37769	40524	51057	61954
83464	50134	10034	79467	6383	2373	28220	58735	51097	61919	94000	81708
